"","0","1000","2000","3000","4000","5000","6000","7000","8000","9000","10000","15000","20000","25000","30000","35000","40000","45000","50000","55000","60000"
"PB",0,3.45e-07,1.41e-06,4.33e-06,1.12e-05,2.54e-05,5.28e-05,0.000102,0.000184,0.000315,0.000518,0.00378,0.0156,0.0447,0.0988,0.18,0.285,0.403,0.523,0.635,0.731
"W",0,3.45e-07,1.41e-06,4.33e-06,1.12e-05,2.54e-05,5.28e-05,0.000102,0.000184,0.000315,0.000518,0.00378,0.0156,0.0447,0.0988,0.18,0.285,0.403,0.523,0.635,0.731
"HLT",0,3.45e-07,1.41e-06,4.33e-06,1.12e-05,2.54e-05,5.28e-05,0.000102,0.000184,0.000315,0.000518,0.00378,0.0156,0.0447,0.0988,0.18,0.285,0.403,0.523,0.635,0.731
