"","0","1000","2000","3000","4000","5000","6000","7000","8000","9000","10000","15000","20000","25000","30000","35000","40000","45000","50000","55000","60000"
"PB",0,5.67e-06,7.93e-05,0.000506,0.00207,0.00631,0.0155,0.0324,0.0596,0.0987,0.15,0.524,0.833,0.96,0.993,0.999,1,1,1,1,1
"W",0,5.67e-06,7.93e-05,0.000506,0.00207,0.00631,0.0155,0.0324,0.0596,0.0987,0.15,0.524,0.833,0.96,0.993,0.999,1,1,1,1,1
"HLT",0,5.67e-06,7.93e-05,0.000506,0.00207,0.00631,0.0155,0.0324,0.0596,0.0987,0.15,0.524,0.833,0.96,0.993,0.999,1,1,1,1,1
