"","0","1000","2000","3000","4000","5000","6000","7000","8000","9000","10000","15000","20000","25000","30000","35000","40000","45000","50000","55000","60000"
"PB",0,5.67e-07,3.01e-06,1.11e-05,3.26e-05,8.18e-05,0.000183,0.000372,0.000704,0.00125,0.0021,0.0156,0.0597,0.15,0.285,0.443,0.599,0.731,0.832,0.901,0.945
"W",0,5.67e-07,3.01e-06,1.11e-05,3.26e-05,8.18e-05,0.000183,0.000372,0.000704,0.00125,0.0021,0.0156,0.0597,0.15,0.285,0.443,0.599,0.731,0.832,0.901,0.945
"HLT",0,5.67e-07,3.01e-06,1.11e-05,3.26e-05,8.18e-05,0.000183,0.000372,0.000704,0.00125,0.0021,0.0156,0.0597,0.15,0.285,0.443,0.599,0.731,0.832,0.901,0.945
