"","0","1000","2000","3000","4000","5000","6000","7000","8000","9000","10000","15000","20000","25000","30000","35000","40000","45000","50000","55000","60000"
"PB",0,1.98e-07,5.83e-07,1.42e-06,3.08e-06,6.09e-06,1.13e-05,1.97e-05,3.3e-05,5.31e-05,8.27e-05,0.00052,0.00211,0.00639,0.0156,0.0326,0.0597,0.0988,0.15,0.213,0.285
"W",0,1.98e-07,5.83e-07,1.42e-06,3.08e-06,6.09e-06,1.13e-05,1.97e-05,3.3e-05,5.31e-05,8.27e-05,0.00052,0.00211,0.00639,0.0156,0.0326,0.0597,0.0988,0.15,0.213,0.285
"HLT",0,1.98e-07,5.83e-07,1.42e-06,3.08e-06,6.09e-06,1.13e-05,1.97e-05,3.3e-05,5.31e-05,8.27e-05,0.00052,0.00211,0.00639,0.0156,0.0326,0.0597,0.0988,0.15,0.213,0.285
