"","0","1000","2000","3000","4000","5000","6000","7000","8000","9000","10000","15000","20000","25000","30000","35000","40000","45000","50000","55000","60000"
"PB",0,7.52e-05,0.00202,0.0154,0.0594,0.15,0.286,0.445,0.601,0.733,0.834,0.993,1,1,1,1,1,1,1,1,1
"W",0,7.52e-05,0.00202,0.0154,0.0594,0.15,0.286,0.445,0.601,0.733,0.834,0.993,1,1,1,1,1,1,1,1,1
"HLT",0,7.52e-05,0.00202,0.0154,0.0594,0.15,0.286,0.445,0.601,0.733,0.834,0.993,1,1,1,1,1,1,1,1,1
