"","E1","E2","E3","E4","E5","E6","E7"
"Mhippo_Zwin2",0.411004479918525,0,0,0,0,0,0
"Mthal_Zwin2",0.108137552882418,0.533939615016824,0,0,0,0,0
"Mcaud_Zwin2",-0.0140021955859991,0.0302208347461096,0.306542482667492,0,0,0,0
"Mamyg_Zwin2",0.0385141868358127,-0.162263896141838,-0.0544794520438021,0.594314017074571,0,0,0
"Maccumb_Zwin2",0.0301637756776228,0.0155520286950652,0.00817464454431052,0.0571451129213414,0.630912297593743,0,0
"Mput_Zwin2",0.0233579627226988,-0.00435302631904938,0.0541361022753604,0.0165952746667532,0.0246898062046891,0.367063850690186,0
"Mpal_Zwin2",0.0322890134599873,0.0349611033071326,0.126015427678503,-0.0899427172155862,0.0612847684684692,0.173715296284764,0.5515155345617
