"","E1","E2","E3","E4","E5","E6","E7"
"Mhippo_Zwin2",0.0241388961312345,0,0,0,0,0,0
"Mthal_Zwin2",0.0401927677594339,0.0294067138367021,0,0,0,0,0
"Mcaud_Zwin2",0.0240354261577709,0.0232832143843324,0.0184907153286098,0,0,0,0
"Mamyg_Zwin2",0.0465285011535267,0.0437169594340055,0.0470984938361421,0.0321155881298155,0,0,0
"Maccumb_Zwin2",0.0475460670168545,0.0455629208554545,0.0489510562392663,0.0448810407856157,0.033056688225546,0,0
"Mput_Zwin2",0.0281625582511908,0.0276400423363299,0.0287273537446648,0.0277809934113897,0.0274324327113616,0.0212476302594761,0
"Mpal_Zwin2",0.0450021125293715,0.0433773674191465,0.0462913229007378,0.041277185238546,0.0409765082244038,0.0417862081934333,0.0292390004016266
