"","A1","A2","A3","A4","A5","A6","A7"
"Mhippo_Zwin2",0.0108828782236015,0,0,0,0,0,0
"Mthal_Zwin2",0.0385867331101362,0.0207518959637295,0,0,0,0,0
"Mcaud_Zwin2",0.0381554250188185,0.0421131597363499,0.00897049622169529,0,0,0,0
"Mamyg_Zwin2",0.0369431267525325,0.0464546574004445,0.0367343929637037,0.035309868615085,0,0,0
"Maccumb_Zwin2",0.0405204422875669,0.0465616265089102,0.0355063659291688,0.05551287772307,0.0340862888049727,0,0
"Mput_Zwin2",0.0369307601002796,0.0413690257760457,0.0331066041965875,0.0479457492081642,0.0473495191817342,0.0218084797035881,0
"Mpal_Zwin2",0.0397219692947626,0.0438182626239913,0.0340430158764721,0.0531843662640551,0.0526199884436076,0.0382754135407081,0.0309342478389192
