"","A1","A2","A3","A4","A5","A6","A7"
"Mhippo_Zwin2",0.911633324032696,0,0,0,0,0,0
"Mthal_Zwin2",0.215205847736811,0.810494417175201,0,0,0,0,0
"Mcaud_Zwin2",0.0787605415471425,0.141193455577099,0.937434547679713,0,0,0,0
"Mamyg_Zwin2",0.372070361589551,0.104617043479839,0.077659741722038,0.67867356556062,0,0,0
"Maccumb_Zwin2",0.127473846701184,0.0930700897530145,0.273303465172461,0.205201961899434,0.67509355840433,0,0
"Mput_Zwin2",0.219459159610375,0.202124366427266,0.280970064167073,0.168194235049914,0.240939154003923,0.778833835410243,0
"Mpal_Zwin2",0.182843725062797,0.260679377425167,0.278638311529742,0.135108354664006,0.10420798608122,0.247906891183058,0.605034772371696
